UserId,VisitMonth,Attraction,UserVisitFrequency,UserHolidayVisitor,UserAttractionVisitCount,UserEngagementScore,UserCountryVariety,UserAttractionVariety,AttractionEngagementScore,UserGroupAffinity,VisitMode
70449,3,Tegalalang Rice Terrace,3,0.0,1,13.0,1,3,24156.0,0.0,Couples
4373,3,Tegalalang Rice Terrace,4,0.25,1,12.0,1,4,24156.0,1.0,Family
1359,3,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Solo
228,3,Tegalalang Rice Terrace,3,0.0,1,13.0,1,3,24156.0,0.0,Couples
79204,3,Tegalalang Rice Terrace,2,0.0,2,8.0,1,1,24156.0,0.0,Solo
40732,2,Tegalalang Rice Terrace,1,0.0,1,2.0,1,1,24156.0,1.0,Friends
73060,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Solo
39646,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
974,2,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Friends
12758,2,Tegalalang Rice Terrace,3,0.0,1,15.0,1,2,24156.0,0.0,Couples
74875,2,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,1.0,Friends
21120,3,Tegalalang Rice Terrace,5,0.0,1,20.0,1,4,24156.0,0.0,Couples
